No,Penalty Calculation Strategy,Penalty Selection Strategy,Penalty TieBreaker Strategy,Cell Selection Strategy,Cell TieBreaker Strategy,Akurasi (Normal)
761,Min Max,Two Max,Min Total Cost,MinSC,Min Cost Allocation,0
762,Min Max,Two Max,Min Total Cost,MinSC,Max Cost Allocation,0
763,Min Max,Two Max,Min Total Cost,MaxSC,Max Demand,0
764,Min Max,Two Max,Min Total Cost,MaxSC,Min Supply Demand Mult,0
765,Min Max,Two Max,Min Total Cost,MaxSC,Max Supply Demand Mult,0
766,Min Max,Two Max,Min Total Cost,MaxSC,Min Cost Allocation,0
767,Min Max,Two Max,Min Total Cost,MaxSC,Max Cost Allocation,0
768,Min Max,Two Max,Min Total Cost,MaxSC,Min Allocation,0
769,Min Max,Two Max,Min Total Cost,MaxSC,Max Allocation,0
770,Min Max,Two Max,Min Total Cost,MaxSC,Min Top-Bottom Sum,0
771,Min Max,Two Max,Min Total Cost,MaxSC,Max Top-Bottom Sum,0
772,Min Max,Two Max,Min Total Cost,MaxSC,Min Supply and Demand,0
773,Min Max,Two Max,Min Total Cost,MaxSC,Max Supply and Demand,0
774,Min Max,Two Max,Min Total Cost,MaxSC,Min Demand,0
775,Min Max,Two Max,Min Total Cost,MinSC,Min Allocation,0
776,Min Max,Two Max,Min Total Cost,MaxSC,Min Supply,0
777,Min Max,Two Max,Min Total Cost,MaxSC,Max Supply,0
778,Min Max,Two Max,Min Total Cost,MaxSC,Index,0
779,Min Max,Two Max,Min Total Cost,MinSC,Min Supply Demand Mult,0
780,Min Max,Two Max,Min Total Cost,MinSC,Max Supply Demand Mult,0
781,Min Max,Two Max,Max Total Cost,MinSC,Max Supply,0
782,Min Max,Two Max,Max Total Cost,MinSC,Min Supply,0
783,Min Max,Two Max,Max Total Cost,MinSC,Max Demand,0
784,Min Max,Two Max,Max Total Cost,MinSC,Min Demand,0
785,Min Max,Two Max,Max Total Cost,MinSC,Max Supply and Demand,0
786,Min Max,Two Max,Max Total Cost,MinSC,Min Supply and Demand,0
787,Two Min,Max Penalty,Min Total Cost,MaxSC,Max Cost Allocation,0
788,Two Min,Max Penalty,Min Total Cost,MinSC,Min Supply Demand Mult,0
789,Two Min,Max Penalty,Min Total Cost,MaxSC,Index,0
790,Two Min,Max Penalty,Min Total Cost,MaxSC,Max Supply,0
791,Two Min,Max Penalty,Min Total Cost,MaxSC,Min Supply,0
792,Two Min,Max Penalty,Min Total Cost,MaxSC,Max Demand,0
793,Two Min,Max Penalty,Min Total Cost,MaxSC,Min Demand,0
794,Two Min,Max Penalty,Min Total Cost,MaxSC,Max Supply and Demand,0
795,Two Min,Max Penalty,Min Total Cost,MaxSC,Min Supply and Demand,0
796,Two Min,Max Penalty,Min Total Cost,MaxSC,Max Top-Bottom Sum,0
797,Two Min,Max Penalty,Min Total Cost,MaxSC,Min Top-Bottom Sum,0
798,Two Min,Max Penalty,Min Total Cost,MaxSC,Max Allocation,0
799,Two Min,Max Penalty,Min Total Cost,MaxSC,Min Allocation,0
800,Two Min,Max Penalty,Min Total Cost,MinSC,Max Supply Demand Mult,0
801,Two Min,Max Penalty,Min Total Cost,MaxSC,Min Cost Allocation,0
802,Two Min,Max Penalty,Min Total Cost,MaxSC,Max Supply Demand Mult,0
803,Two Min,Max Penalty,Min Total Cost,MaxSC,Min Supply Demand Mult,0
804,Two Min,Min Penalty,Min Total Cost,MinCost,Index,0
805,Two Min,Min Penalty,Min Total Cost,MinCost,Min Supply,0
806,Two Min,Min Penalty,Min Total Cost,MinCost,Min Demand,0
807,Two Min,Min Penalty,Min Total Cost,MinCost,Min Supply and Demand,0
808,Two Min,Min Penalty,Min Total Cost,MinCost,Max Top-Bottom Sum,0
809,Two Min,Min Penalty,Min Total Cost,MinCost,Min Allocation,0
810,Two Min,Min Penalty,Min Total Cost,MinCost,Min Cost Allocation,0
811,Two Min,Min Penalty,Min Total Cost,MinCost,Min Supply Demand Mult,0
812,Two Min,Max Penalty,Min Total Cost,MinSC,Max Supply,0
813,Min Max,Two Max,Min Total Cost,MinSC,Max Allocation,0
814,Min Max,Two Max,Min Total Cost,MinSC,Min Top-Bottom Sum,0
815,Min Max,Two Max,Min Total Cost,MinSC,Max Top-Bottom Sum,0
816,Min Max,Two Max,Min Total Cost,MinSC,Min Supply and Demand,0
817,Min Max,Two Max,Min Total Cost,MinSC,Max Supply and Demand,0
818,Min Max,Two Max,Min Total Cost,MinSC,Min Demand,0
819,Min Max,Two Max,Min Total Cost,MinSC,Max Demand,0
820,Min Max,Two Max,Min Total Cost,MinSC,Min Supply,0
821,Min Max,Two Max,Min Total Cost,MinSC,Max Supply,0
822,Min Max,Two Max,Min Total Cost,MinSC,Index,0
823,Two Min,Max Penalty,Min Total Cost,MinSC,Index,0
824,Min Max,Min Penalty,Min Total Cost,MaxSC,Min Supply Demand Mult,0
825,Two Min,Max Penalty,Min Total Cost,MinSC,Min Supply,0
826,Two Min,Max Penalty,Min Total Cost,MinSC,Max Demand,0
827,Two Min,Max Penalty,Min Total Cost,MinSC,Min Demand,0
828,Two Min,Max Penalty,Min Total Cost,MinSC,Max Supply and Demand,0
829,Two Min,Max Penalty,Min Total Cost,MinSC,Min Supply and Demand,0
830,Two Min,Max Penalty,Min Total Cost,MinSC,Max Top-Bottom Sum,0
831,Two Min,Max Penalty,Min Total Cost,MinSC,Min Top-Bottom Sum,0
832,Two Min,Max Penalty,Min Total Cost,MinSC,Max Allocation,0
833,Two Min,Max Penalty,Min Total Cost,MinSC,Min Allocation,0
834,Two Min,Two Max,Min Total Cost,MaxSC,Min Supply,0
835,Two Min,Max Penalty,Min Total Cost,MinSC,Min Cost Allocation,0
836,Min Max,Max Penalty,Min Total Cost,MinSC,Max Supply Demand Mult,0
837,Min Max,Max Penalty,Min Total Cost,MaxSC,Max Cost Allocation,0
838,Min Max,Max Penalty,Min Total Cost,MaxSC,Min Allocation,0
839,Min Max,Max Penalty,Min Total Cost,MaxSC,Max Allocation,0
840,Min Max,Max Penalty,Min Total Cost,MaxSC,Min Top-Bottom Sum,0
841,Min Max,Max Penalty,Min Total Cost,MaxSC,Max Top-Bottom Sum,0
842,Min Max,Max Penalty,Min Total Cost,MaxSC,Min Supply and Demand,0
843,Min Max,Max Penalty,Min Total Cost,MaxSC,Max Supply and Demand,0
844,Min Max,Max Penalty,Min Total Cost,MaxSC,Min Demand,0
845,Min Max,Max Penalty,Min Total Cost,MaxSC,Max Demand,0
846,Min Max,Max Penalty,Min Total Cost,MaxSC,Min Supply,0
847,Min Max,Max Penalty,Min Total Cost,MaxSC,Max Supply,0
848,Min Max,Max Penalty,Min Total Cost,MaxSC,Index,0
849,Min Max,Max Penalty,Min Total Cost,MinSC,Min Supply Demand Mult,0
850,Min Max,Max Penalty,Min Total Cost,MaxSC,Min Cost Allocation,0
851,Min Max,Max Penalty,Min Total Cost,MinSC,Min Cost Allocation,0
852,Min Max,Max Penalty,Min Total Cost,MinSC,Max Cost Allocation,0
853,Min Max,Max Penalty,Min Total Cost,MinSC,Min Allocation,0
854,Min Max,Max Penalty,Min Total Cost,MinSC,Max Allocation,0
855,Min Max,Max Penalty,Min Total Cost,MinSC,Min Top-Bottom Sum,0
856,Min Max,Max Penalty,Min Total Cost,MinSC,Max Top-Bottom Sum,0
857,Min Max,Max Penalty,Min Total Cost,MinSC,Min Supply and Demand,0
858,Two Max,Max Penalty,Min Total Cost,MaxSC,Min Allocation,0
859,Two Max,Max Penalty,Min Total Cost,MaxSC,Max Cost Allocation,0
860,Two Max,Max Penalty,Min Total Cost,MaxSC,Min Cost Allocation,0
861,Two Max,Max Penalty,Min Total Cost,MaxSC,Max Supply Demand Mult,0
862,Two Max,Max Penalty,Min Total Cost,MaxSC,Min Supply Demand Mult,0
863,Two Max,Max Penalty,Min Total Cost,MaxSC,Min Supply,0
864,Two Max,Max Penalty,Min Total Cost,MinSC,Min Demand,0
865,Two Max,Max Penalty,Min Total Cost,MinSC,Max Supply and Demand,0
866,Two Max,Max Penalty,Min Total Cost,MinSC,Min Supply and Demand,0
867,Two Max,Max Penalty,Min Total Cost,MinSC,Max Top-Bottom Sum,0
868,Two Max,Max Penalty,Min Total Cost,MinSC,Min Top-Bottom Sum,0
869,Two Max,Max Penalty,Min Total Cost,MinSC,Max Allocation,0
870,Two Max,Max Penalty,Min Total Cost,MinSC,Min Allocation,0
871,Two Max,Max Penalty,Min Total Cost,MinSC,Max Cost Allocation,0
872,Two Max,Max Penalty,Min Total Cost,MinSC,Min Cost Allocation,0
873,Two Max,Max Penalty,Min Total Cost,MinSC,Max Supply Demand Mult,0
874,Two Max,Max Penalty,Min Total Cost,MinSC,Min Supply Demand Mult,0
875,Two Max,Max Penalty,Min Total Cost,MaxSC,Index,0
876,Two Max,Max Penalty,Min Total Cost,MaxSC,Max Supply,0
877,Two Max,Min Penalty,Min Total Cost,MinCost,Max Demand,0
878,Two Max,Max Penalty,Min Total Cost,MaxSC,Max Demand,0
879,Two Max,Max Penalty,Min Total Cost,MaxSC,Min Demand,0
880,Two Max,Max Penalty,Min Total Cost,MaxSC,Max Supply and Demand,0
881,Two Max,Max Penalty,Min Total Cost,MaxSC,Min Supply and Demand,0
882,Two Max,Max Penalty,Min Total Cost,MaxSC,Max Top-Bottom Sum,0
883,Two Max,Max Penalty,Min Total Cost,MaxSC,Min Top-Bottom Sum,0
884,Two Max,Max Penalty,Min Total Cost,MaxSC,Max Allocation,0
885,Min Max,Min Penalty,Min Total Cost,MinCost,Max Demand,0
886,Min Max,Min Penalty,Min Total Cost,MinCost,Min Supply,0
887,Min Max,Min Penalty,Min Total Cost,MinCost,Index,0
888,Min Max,Max Penalty,Min Total Cost,MaxSC,Min Supply Demand Mult,0
889,Min Max,Max Penalty,Min Total Cost,MaxSC,Max Supply Demand Mult,0
890,Two Max,Two Max,Min Total Cost,MinSC,Max Top-Bottom Sum,0
891,Two Max,Two Max,Min Total Cost,MinSC,Max Demand,0
892,Two Max,Two Max,Min Total Cost,MinSC,Min Demand,0
893,Two Max,Two Max,Min Total Cost,MinSC,Max Supply and Demand,0
894,Two Max,Two Max,Min Total Cost,MaxSC,Min Supply Demand Mult,0
895,Two Max,Two Max,Min Total Cost,MaxSC,Max Supply Demand Mult,0
896,Two Max,Two Max,Min Total Cost,MaxSC,Min Cost Allocation,0
897,Two Max,Two Max,Min Total Cost,MaxSC,Max Cost Allocation,0
898,Two Max,Two Max,Min Total Cost,MaxSC,Min Allocation,0
899,Two Max,Two Max,Min Total Cost,MaxSC,Max Allocation,0
900,Two Max,Two Max,Min Total Cost,MaxSC,Min Top-Bottom Sum,0
901,Two Max,Two Max,Min Total Cost,MaxSC,Max Top-Bottom Sum,0
902,Two Max,Two Max,Min Total Cost,MaxSC,Min Supply and Demand,0
903,Two Max,Two Max,Min Total Cost,MinSC,Min Supply and Demand,0
904,Two Max,Two Max,Min Total Cost,MinSC,Min Supply,0
905,Two Max,Two Max,Min Total Cost,MinSC,Min Top-Bottom Sum,0
906,Two Max,Two Max,Min Total Cost,MinSC,Max Allocation,0
907,Two Max,Two Max,Min Total Cost,MinSC,Min Allocation,0
908,Two Max,Two Max,Min Total Cost,MinSC,Max Cost Allocation,0
909,Two Max,Two Max,Min Total Cost,MinSC,Min Cost Allocation,0
910,Two Max,Two Max,Min Total Cost,MinSC,Max Supply Demand Mult,0
911,Two Max,Two Max,Min Total Cost,MinSC,Min Supply Demand Mult,0
912,Two Max,Two Max,Min Total Cost,MaxSC,Index,0
913,Two Max,Two Max,Min Total Cost,MaxSC,Max Supply,0
914,Two Max,Two Max,Min Total Cost,MaxSC,Min Supply,0
915,Two Max,Two Max,Min Total Cost,MaxSC,Max Demand,0
916,Two Max,Two Max,Min Total Cost,MaxSC,Min Demand,0
917,Two Max,Min Penalty,Min Total Cost,MinSC,Min Demand,0
918,Two Max,Min Penalty,Min Total Cost,MinCost,Max Supply and Demand,0
919,Two Max,Min Penalty,Min Total Cost,MinCost,Max Top-Bottom Sum,0
920,Two Max,Min Penalty,Min Total Cost,MinCost,Max Supply Demand Mult,0
921,Min Max,Max Penalty,Min Total Cost,MinSC,Max Supply and Demand,0
922,Min Max,Max Penalty,Min Total Cost,MinSC,Min Demand,0
923,Min Max,Max Penalty,Min Total Cost,MinSC,Max Demand,0
924,Min Max,Max Penalty,Min Total Cost,MinSC,Min Supply,0
925,Min Max,Max Penalty,Min Total Cost,MinSC,Max Supply,0
926,Min Max,Max Penalty,Min Total Cost,MinSC,Index,0
927,Two Max,Min Penalty,Min Total Cost,MinSC,Index,0
928,Two Max,Min Penalty,Min Total Cost,MinSC,Max Supply,0
929,Two Max,Min Penalty,Min Total Cost,MinSC,Min Supply,0
930,Two Max,Min Penalty,Min Total Cost,MinSC,Max Demand,0
931,Two Max,Max Penalty,Min Total Cost,MinSC,Max Demand,0
932,Two Max,Min Penalty,Min Total Cost,MinSC,Max Supply and Demand,0
933,Two Max,Min Penalty,Min Total Cost,MinSC,Min Supply and Demand,0
934,Two Max,Min Penalty,Min Total Cost,MinSC,Max Top-Bottom Sum,0
935,Two Max,Min Penalty,Min Total Cost,MinSC,Min Top-Bottom Sum,0
936,Two Max,Min Penalty,Min Total Cost,MinSC,Max Allocation,0
937,Two Max,Min Penalty,Min Total Cost,MinSC,Min Allocation,0
938,Two Max,Min Penalty,Min Total Cost,MinSC,Max Cost Allocation,0
939,Two Max,Min Penalty,Min Total Cost,MinSC,Min Cost Allocation,0
940,Two Max,Min Penalty,Min Total Cost,MinSC,Max Supply Demand Mult,0
941,Two Max,Min Penalty,Min Total Cost,MinSC,Min Supply Demand Mult,0
942,Two Max,Two Max,Min Total Cost,MinSC,Index,0
943,Two Max,Two Max,Min Total Cost,MinSC,Max Supply,0
944,Two Min,Two Max,Min Total Cost,MinSC,Max Cost Allocation,0
945,Two Min,Min Penalty,Min Total Cost,MaxSC,Max Supply Demand Mult,0
946,Two Min,Min Penalty,Min Total Cost,MaxSC,Min Supply Demand Mult,0
947,Two Min,Two Max,Min Total Cost,MinSC,Index,0
948,Two Min,Two Max,Min Total Cost,MinSC,Max Supply,0
949,Two Min,Two Max,Min Total Cost,MinSC,Min Supply,0
950,Two Min,Two Max,Min Total Cost,MinSC,Max Demand,0
951,Two Min,Two Max,Min Total Cost,MinSC,Min Demand,0
952,Two Min,Two Max,Min Total Cost,MinSC,Max Supply and Demand,0
953,Two Min,Two Max,Min Total Cost,MinSC,Min Supply and Demand,0
954,Two Min,Two Max,Min Total Cost,MinSC,Max Top-Bottom Sum,0
955,Two Min,Two Max,Min Total Cost,MinSC,Min Top-Bottom Sum,0
956,Two Min,Two Max,Min Total Cost,MinSC,Max Allocation,0
957,Two Min,Two Max,Min Total Cost,MinSC,Min Allocation,0
958,Two Min,Min Penalty,Min Total Cost,MaxSC,Min Cost Allocation,0
959,Two Min,Two Max,Min Total Cost,MinSC,Min Cost Allocation,0
960,Two Min,Two Max,Min Total Cost,MinSC,Max Supply Demand Mult,0
961,Two Min,Two Max,Min Total Cost,MinSC,Min Supply Demand Mult,0
962,Two Min,Two Max,Min Total Cost,MaxSC,Index,0
963,Two Min,Two Max,Min Total Cost,MaxSC,Max Supply,0
964,Two Max,Two Max,Min Total Cost,MaxSC,Max Supply and Demand,0
965,Two Min,Two Max,Min Total Cost,MaxSC,Max Demand,0
966,Two Min,Two Max,Min Total Cost,MaxSC,Min Demand,0
967,Two Min,Two Max,Min Total Cost,MaxSC,Max Supply and Demand,0
968,Two Min,Two Max,Min Total Cost,MaxSC,Min Supply and Demand,0
969,Two Min,Two Max,Min Total Cost,MaxSC,Max Top-Bottom Sum,0
970,Two Min,Two Max,Min Total Cost,MaxSC,Min Top-Bottom Sum,0
971,Two Min,Min Penalty,Min Total Cost,MinSC,Min Supply Demand Mult,0
972,Two Min,Min Penalty,Min Total Cost,MinSC,Max Supply,0
973,Two Min,Min Penalty,Min Total Cost,MinSC,Min Supply,0
974,Two Min,Min Penalty,Min Total Cost,MinSC,Max Demand,0
975,Two Min,Min Penalty,Min Total Cost,MinSC,Min Demand,0
976,Two Min,Min Penalty,Min Total Cost,MinSC,Max Supply and Demand,0
977,Two Min,Min Penalty,Min Total Cost,MinSC,Min Supply and Demand,0
978,Two Min,Min Penalty,Min Total Cost,MinSC,Max Top-Bottom Sum,0
979,Two Min,Min Penalty,Min Total Cost,MinSC,Min Top-Bottom Sum,0
980,Two Min,Min Penalty,Min Total Cost,MinSC,Max Allocation,0
981,Two Min,Min Penalty,Min Total Cost,MinSC,Min Allocation,0
982,Two Min,Min Penalty,Min Total Cost,MinSC,Max Cost Allocation,0
983,Two Min,Min Penalty,Min Total Cost,MinSC,Min Cost Allocation,0
984,Two Min,Min Penalty,Min Total Cost,MinSC,Max Supply Demand Mult,0
985,Two Min,Two Max,Min Total Cost,MaxSC,Max Allocation,0
986,Two Min,Min Penalty,Min Total Cost,MaxSC,Index,0
987,Two Min,Min Penalty,Min Total Cost,MaxSC,Max Supply,0
988,Two Min,Min Penalty,Min Total Cost,MaxSC,Min Supply,0
989,Two Min,Min Penalty,Min Total Cost,MaxSC,Max Demand,0
990,Two Min,Min Penalty,Min Total Cost,MaxSC,Min Demand,0
991,Two Min,Min Penalty,Min Total Cost,MaxSC,Max Supply and Demand,0
992,Two Min,Min Penalty,Min Total Cost,MaxSC,Min Supply and Demand,0
993,Two Min,Min Penalty,Min Total Cost,MaxSC,Max Top-Bottom Sum,0
994,Two Min,Min Penalty,Min Total Cost,MaxSC,Min Top-Bottom Sum,0
995,Two Min,Min Penalty,Min Total Cost,MaxSC,Max Allocation,0
996,Two Min,Min Penalty,Min Total Cost,MaxSC,Min Allocation,0
997,Two Min,Min Penalty,Min Total Cost,MaxSC,Max Cost Allocation,0
998,Min Max,Min Penalty,Min Total Cost,MinCA,Max Supply,0
999,Min Max,Min Penalty,Min Total Cost,MinCA,Min Supply Demand Mult,0
1000,Min Max,Min Penalty,Min Total Cost,MinCA,Max Supply Demand Mult,0
1001,Min Max,Min Penalty,Min Total Cost,MinCA,Min Cost Allocation,0
1002,Min Max,Min Penalty,Min Total Cost,MinCA,Max Cost Allocation,0
1003,Min Max,Min Penalty,Min Total Cost,MinCA,Min Allocation,0
1004,Min Max,Min Penalty,Min Total Cost,MinCA,Max Allocation,0
1005,Min Max,Min Penalty,Min Total Cost,MinCA,Min Top-Bottom Sum,0
1006,Min Max,Min Penalty,Min Total Cost,MinCA,Max Top-Bottom Sum,0
1007,Min Max,Min Penalty,Min Total Cost,MinCA,Min Supply and Demand,0
1008,Min Max,Min Penalty,Min Total Cost,MinCA,Max Supply and Demand,0
1009,Min Max,Min Penalty,Min Total Cost,MinCA,Min Demand,0
1010,Min Max,Min Penalty,Min Total Cost,MinCA,Max Demand,0
1011,Min Max,Min Penalty,Min Total Cost,MinCA,Min Supply,0
1012,Min Max,Min Penalty,Min Total Cost,MinSC,Index,0
1013,Min Max,Min Penalty,Min Total Cost,MinCA,Index,0
1014,Min Max,Min Penalty,Min Total Cost,MinCost,Min Supply Demand Mult,0
1015,Min Max,Min Penalty,Min Total Cost,MinCost,Min Cost Allocation,0
1016,Min Max,Min Penalty,Min Total Cost,MinCost,Min Allocation,0
1017,Min Max,Min Penalty,Min Total Cost,MinCost,Min Top-Bottom Sum,0
1018,Min Max,Min Penalty,Min Total Cost,MinCost,Max Top-Bottom Sum,0
1019,Min Max,Min Penalty,Min Total Cost,MinCost,Min Supply and Demand,0
1020,Min Max,Min Penalty,Min Total Cost,MinCost,Max Supply and Demand,0
1021,Min Max,Min Penalty,Min Total Cost,MinCost,Min Demand,0
1022,Two Max,Max Penalty,Min Total Cost,MinSC,Index,0
1023,Two Max,Max Penalty,Min Total Cost,MinSC,Max Supply,0
1024,Two Max,Max Penalty,Min Total Cost,MinSC,Min Supply,0
1025,Min Max,Min Penalty,Min Total Cost,MinSC,Min Top-Bottom Sum,0
1026,Min Max,Min Penalty,Min Total Cost,MaxSC,Max Supply and Demand,0
1027,Min Max,Min Penalty,Min Total Cost,MaxSC,Min Demand,0
1028,Min Max,Min Penalty,Min Total Cost,MaxSC,Max Demand,0
1029,Min Max,Min Penalty,Min Total Cost,MaxSC,Min Supply,0
1030,Min Max,Min Penalty,Min Total Cost,MaxSC,Max Supply,0
1031,Min Max,Min Penalty,Min Total Cost,MaxSC,Index,0
1032,Min Max,Min Penalty,Min Total Cost,MinSC,Min Supply Demand Mult,0
1033,Min Max,Min Penalty,Min Total Cost,MinSC,Max Supply Demand Mult,0
1034,Min Max,Min Penalty,Min Total Cost,MinSC,Min Cost Allocation,0
1035,Min Max,Min Penalty,Min Total Cost,MinSC,Max Cost Allocation,0
1036,Min Max,Min Penalty,Min Total Cost,MinSC,Min Allocation,0
1037,Min Max,Min Penalty,Min Total Cost,MinSC,Max Allocation,0
1038,Two Min,Min Penalty,Min Total Cost,MinSC,Index,0
1039,Min Max,Min Penalty,Min Total Cost,MinSC,Max Top-Bottom Sum,0
1040,Min Max,Min Penalty,Min Total Cost,MinSC,Min Supply and Demand,0
1041,Min Max,Min Penalty,Min Total Cost,MinSC,Max Supply and Demand,0
1042,Min Max,Min Penalty,Min Total Cost,MinSC,Min Demand,0
1043,Two Min,Two Max,Min Total Cost,MaxSC,Min Allocation,0
1044,Two Min,Two Max,Min Total Cost,MaxSC,Max Cost Allocation,0
1045,Two Min,Two Max,Min Total Cost,MaxSC,Min Cost Allocation,0
1046,Two Min,Two Max,Min Total Cost,MaxSC,Max Supply Demand Mult,0
1047,Two Min,Two Max,Min Total Cost,MaxSC,Min Supply Demand Mult,0
1048,Min Max,Min Penalty,Min Total Cost,MinSC,Max Demand,0
1049,Min Max,Min Penalty,Min Total Cost,MinSC,Min Supply,0
1050,Min Max,Min Penalty,Min Total Cost,MinSC,Max Supply,0
1051,Two Max,Two Max,All Penalties,MinSC,Min Cost Allocation,0
1052,Two Max,Two Max,All Penalties,MaxSC,Max Supply and Demand,0
1053,Two Max,Two Max,All Penalties,MaxSC,Min Demand,0
1054,Two Max,Two Max,All Penalties,MaxSC,Max Demand,0
1055,Two Max,Two Max,All Penalties,MaxSC,Min Supply,0
1056,Two Max,Two Max,All Penalties,MaxSC,Max Supply,0
1057,Two Max,Two Max,All Penalties,MaxSC,Index,0
1058,Two Max,Two Max,All Penalties,MinSC,Min Supply Demand Mult,0
1059,Two Max,Two Max,All Penalties,MinSC,Max Supply Demand Mult,0
1060,Two Max,Two Max,All Penalties,MaxSC,Min Supply and Demand,0
1061,Two Max,Two Max,All Penalties,MinSC,Max Cost Allocation,0
1062,Two Max,Two Max,All Penalties,MinSC,Min Allocation,0
1063,Two Max,Two Max,All Penalties,MinSC,Max Allocation,0
1064,Two Max,Two Max,All Penalties,MinSC,Min Top-Bottom Sum,0
1065,Two Max,Two Max,All Penalties,MinSC,Max Top-Bottom Sum,0
1066,Two Max,Two Max,All Penalties,MinSC,Min Supply and Demand,0
1067,Two Max,Two Max,All Penalties,MinSC,Max Supply and Demand,0
1068,Two Max,Two Max,All Penalties,MinSC,Min Demand,0
1069,Min Max,Max Penalty,All Penalties,MinSC,Index,0
1070,Min Max,Max Penalty,All Penalties,MinSC,Min Top-Bottom Sum,0
1071,Min Max,Max Penalty,All Penalties,MinSC,Max Top-Bottom Sum,0
1072,Min Max,Max Penalty,All Penalties,MinSC,Min Supply and Demand,0
1073,Min Max,Max Penalty,All Penalties,MinSC,Max Supply and Demand,0
1074,Min Max,Max Penalty,All Penalties,MinSC,Min Demand,0
1075,Min Max,Max Penalty,All Penalties,MinSC,Max Demand,0
1076,Min Max,Max Penalty,All Penalties,MinSC,Min Supply,0
1077,Min Max,Max Penalty,All Penalties,MinSC,Max Supply,0
1078,Two Max,Two Max,All Penalties,MinSC,Max Demand,0
1079,Two Max,Two Max,All Penalties,MaxSC,Min Supply Demand Mult,0
1080,Two Max,Two Max,All Penalties,MaxSC,Max Supply Demand Mult,0
1081,Two Max,Two Max,All Penalties,MaxSC,Min Cost Allocation,0
1082,Two Max,Two Max,All Penalties,MaxSC,Max Cost Allocation,0
1083,Two Max,Two Max,All Penalties,MaxSC,Min Allocation,0
1084,Two Max,Two Max,All Penalties,MaxSC,Max Allocation,0
1085,Two Max,Two Max,All Penalties,MaxSC,Min Top-Bottom Sum,0
1086,Two Max,Two Max,All Penalties,MaxSC,Max Top-Bottom Sum,0
1087,Two Max,Min Penalty,All Penalties,MinSC,Min Supply and Demand,0
1088,Two Max,Min Penalty,All Penalties,MinSC,Min Supply Demand Mult,0
1089,Two Max,Min Penalty,All Penalties,MinSC,Max Supply Demand Mult,0
1090,Two Max,Min Penalty,All Penalties,MinSC,Min Cost Allocation,0
1091,Two Max,Min Penalty,All Penalties,MinSC,Max Cost Allocation,0
1092,Two Max,Min Penalty,All Penalties,MinSC,Min Allocation,0
1093,Two Max,Min Penalty,All Penalties,MinSC,Max Allocation,0
1094,Two Max,Min Penalty,All Penalties,MinSC,Min Top-Bottom Sum,0
1095,Two Max,Min Penalty,All Penalties,MinSC,Max Top-Bottom Sum,0
1096,Two Max,Min Penalty,All Penalties,MaxSC,Index,0
1097,Two Max,Min Penalty,All Penalties,MinSC,Max Supply and Demand,0
1098,Two Max,Min Penalty,All Penalties,MinSC,Min Demand,0
1099,Two Max,Min Penalty,All Penalties,MinSC,Max Demand,0
1100,Two Max,Min Penalty,All Penalties,MinSC,Min Supply,0
1101,Two Max,Min Penalty,All Penalties,MinSC,Max Supply,0
1102,Two Max,Min Penalty,All Penalties,MinSC,Index,0
1103,Two Max,Min Penalty,All Penalties,MinCost,Min Supply Demand Mult,0
1104,Two Max,Min Penalty,All Penalties,MinCost,Max Supply Demand Mult,0
1105,Two Max,Min Penalty,All Penalties,MaxSC,Max Allocation,0
1106,Two Max,Two Max,All Penalties,MinSC,Min Supply,0
1107,Two Max,Two Max,All Penalties,MinSC,Max Supply,0
1108,Two Max,Two Max,All Penalties,MinSC,Index,0
1109,Two Max,Min Penalty,All Penalties,MaxSC,Min Supply Demand Mult,0
1110,Two Max,Min Penalty,All Penalties,MaxSC,Max Supply Demand Mult,0
1111,Two Max,Min Penalty,All Penalties,MaxSC,Min Cost Allocation,0
1112,Two Max,Min Penalty,All Penalties,MaxSC,Max Cost Allocation,0
1113,Two Max,Min Penalty,All Penalties,MaxSC,Min Allocation,0
1114,Min Max,Max Penalty,All Penalties,MinSC,Max Allocation,0
1115,Two Max,Min Penalty,All Penalties,MaxSC,Min Top-Bottom Sum,0
1116,Two Max,Min Penalty,All Penalties,MaxSC,Max Top-Bottom Sum,0
1117,Two Max,Min Penalty,All Penalties,MaxSC,Min Supply and Demand,0
1118,Two Max,Min Penalty,All Penalties,MaxSC,Max Supply and Demand,0
1119,Two Max,Min Penalty,All Penalties,MaxSC,Min Demand,0
1120,Two Max,Min Penalty,All Penalties,MaxSC,Max Demand,0
1121,Two Max,Min Penalty,All Penalties,MaxSC,Min Supply,0
1122,Two Max,Min Penalty,All Penalties,MaxSC,Max Supply,0
1123,Min Max,Min Penalty,All Penalties,MinSC,Min Cost Allocation,0
1124,Min Max,Min Penalty,All Penalties,MaxSC,Max Supply and Demand,0
1125,Min Max,Min Penalty,All Penalties,MaxSC,Min Demand,0
1126,Min Max,Min Penalty,All Penalties,MaxSC,Max Demand,0
1127,Min Max,Min Penalty,All Penalties,MaxSC,Min Supply,0
1128,Min Max,Min Penalty,All Penalties,MaxSC,Max Supply,0
1129,Min Max,Min Penalty,All Penalties,MaxSC,Index,0
1130,Min Max,Min Penalty,All Penalties,MinSC,Min Supply Demand Mult,0
1131,Min Max,Min Penalty,All Penalties,MinSC,Max Supply Demand Mult,0
1132,Min Max,Min Penalty,All Penalties,MaxSC,Min Supply and Demand,0
1133,Min Max,Min Penalty,All Penalties,MinSC,Max Cost Allocation,0
